file, center, complete, degrees, dfsPath, directed_cut_edges, directed_cut_vertices, directed_cyclic, empty, eulerian, max_degree, min_degree, mst_weight, num_spanning_trees, num_strong_components, num_weak_components, order, size, undirected_cut_edges, undirected_cut_vertices, undirected_cyclic, unweighted_distance, weighted_distance
bipartite_graph, 0, false, [2,2,2,2], [0,2,1,3], [], [], true, false, true, 2, 2, 3, 4, 1, 1, 4, 8, [], [], true, [0,2,1,1], [0,2,1,1]
complete_graph, 0, true, [3,3,3,3], [0,1,2,3], [], [], true, false, false, 3, 3, 3, 16, 1, 1, 4, 12, [], [], true, [0,1,1,1], [0,1,1,1]
connected_graph, 0, true, [4,4,4,4,4], [0,1,2,3,4], [], [], true, false, true, 4, 4, 14, 125, 1, 1, 5, 20, [], [], true, [0,1,1,1,1], [0,2,3,4,5]
cycle_graph, 0, false, [2,2,2,2], [0,1,2,3], [], [], true, false, true, 2, 2, 3, 4, 1, 1, 4, 8, [], [], true, [0,1,2,1], [0,1,2,1]
directed_path, 1, false, [0,1,1,1], [0], [], [], false, false, false, 1, 0, 3, 1, 4, 1, 4, 3, [], [], false, [0,-1,-1,-1], [0,-1,-1,-1]
directed_tree, 1, false, [1,2,0,0], [0,1,2,3], [], [], false, false, false, 2, 0, 3, 1, 4, 1, 4, 3, [], [], false, [0,1,2,2], [0,1,2,2]
disconnected_graph, 0, false, [1,1,1,1], [0,1], [(0,1),(1,0),(2,3),(3,2)], [], true, false, false, 1, 1, -1, 0, 2, 2, 4, 4, [], [], false, [0,1,-1,-1], [0,1,-1,-1]
empty_graph, 0, false, [0,0,0], [0], [], [], false, true, true, 0, 0, -1, 0, 3, 3, 3, 0, [], [], false, [0,-1,-1,], [0,-1,-1]
large_graph, 2, false, [3,3,4,3,2,3], [0,1,2,3,4,5], [], [], true, false, false, 4, 2, 33, 66, 1, 1, 6, 18, [], [], true, [0,1,1,2,2,1], [0,7,9,20,20,11]
medium_graph, 1, false, [1,3,2,2,2], [0,1,2,3,4], [(0,1),(1,0)], [1], true, false, false, 3, 1, 7, 4, 1, 1, 5, 10, [], [], true, [0,1,2,3,2], [0,3,4,6,7]
path_graph, 1, false, [1,2,2,1], [0,1,2,3], [(0,1),(1,0),(1,2),(2,1),(2,3),(3,2)], [1,2], true, false, false, 2, 1, 3, 1, 1, 1, 4, 6, [], [], false, [0,1,2,3], [0,1,2,3]
simple_graph, 1, false, [2,3,3,2], [0,1,2,3], [], [], true, false, false, 3, 2, 4, 8, 1, 1, 4, 10, [], [], true, [0,1,1,2], [0,1,4,3]
single_edge_graph, 0, false, [1,1,0], [0,1], [(0,1),(1,0)], [], true, false, false, 1, 0, -1, 0, 2, 2, 3, 2, [], [], false, [0,1,-1], [0,1,-1]
sparse_graph, 2, false, [2,4,3,3,4,2,2], [0,1,2,4,3,6,5], [], [], true, false, false, 4, 2, 19, 76, 1, 1, 7, 20, [], [], true, [0,1,2,1,2,3,3], [0,3,7,1,2,13,6]
star_graph, 0, false, [3,1,1,1], [0,1,2,3], [(0,1),(0,2),(0,3),(1,0),(2,0),(3,0)], [0], true, false, false, 3, 1, 3, 1, 1, 1, 4, 6, [], [], false, [0,1,1,1], [0,1,1,1]
tree_graph, 2, false, [1,1,3,4,1,1,1], [0,2,1,3,4,5,6], [(0,2),(1,2),(2,0),(2,1),(2,3),(3,2),(3,4),(3,5),(3,6),(4,3),(5,3),(6,3)], [2,3], true, false, false, 4, 1, 6, 1, 1, 1, 7, 12, [], [], false, [0,2,1,2,3,3,3], [0,2,1,2,3,3,3]
zero_graph, -1, true, [], [], [], [], false, true, true, 0, 0, -1, 0, 0, 0, 0, 0, [], [], false, [], []
